Marca,Modelo,Versión
ACURA,TLX,ADV 4PTAS 3.5L 6CIL 290HP AUT
ACURA,TLX,ADV-19 4PTAS 3.5L 6CIL 290HP AUT
ACURA,TLX,ADV-A 4PTAS 3.5L 6CIL 290HP AUT
ACURA,TLX,ADVANCE 4PTAS 3.5L 6CIL 290HP AUT
ACURA,TLX,ADVANCE 4PTS 3.5L 6CIL 290HP AUT
ACURA,TLX,ADV-AR 4PTAS 3.5L 6CIL 290HP AUT
ACURA,TLX,TC-A19 4PTAS 2.4L 4CIL 206HP DCT
ACURA,TLX,TCAR19 4PTAS 2.4L 4CIL 206HP DCT
ACURA,TLX,TECH 4PTAS 2.4L 4CIL 206HP AUT
ACURA,TLX,TECH 4PTAS 2.4L 4CIL 206HP DCT
ACURA,TLX,TECH 4PTS 2.4L 4CIL 206HP AUT
ACURA,TSX,2WD 4PTS 2.4L 4CIL 204HP AUT
ACURA,TSX,2WD 4PTS 3.5L 6CIL 280HP AUT
ACURA,TSX,4PTS 2.4L 4CIL 204HP AUT
ACURA,TSX,4PTS 3.5L 6CIL 280HP AUT
ACURA,ZDX,4WD 4PTS 3.7L 6CIL 304HP AUT
ACURA,ZDX,4WD 5PTS 3.7L 6CIL 304HP AUT
ALFA ROMEO,159,SEDAN 4PTS 2.2L 4CIL 185HP AUT
ALFA ROMEO,159,SEDAN 4PTS 3.2L 6CIL 260HP AUT
ALFA ROMEO,4C,COUPE 2PTAS 1.7L 4CIL 237HP AUT TURBO
ALFA ROMEO,GIULIETTA,HATCHBACK 5PTAS 1.7L 4CIL 237HP AUT TURBO
ALFA ROMEO,GIULIETTA,HATCHBACK 5PTS 1.4L 4CIL 170HP MAN
ALFA ROMEO,GIULIETTA,HATCHBACK 5PTS 1.7L 4CIL 235HP MAN TURBO
ALFA ROMEO,GIULIETTA,HATCHBACK 5PTS 1.8L 4CIL 235HP MAN TURBO
ALFA ROMEO,MITO,HATCHBACK 3PTAS 1.4L 4CIL 170HP MAN
ALFA ROMEO,MITO,HATCHBACK 3PTS 1.4L 4CIL 135HP AUT
ALFA ROMEO,MITO,HATCHBACK 3PTS 1.4L 4CIL 135HP AUT TURBO
ALFA ROMEO,MITO,HATCHBACK 3PTS 1.4L 4CIL 170HP MAN TURBO
AUDI,A1,3PTAS 1.4L 4CIL 125HP MAN FSI FRONT TURBO
AUDI,A1,3PTAS 1.4L 4CIL 125HP STRONIC TFSI FRONT TURBO
AUDI,A1,3PTAS 1.8L 4CIL 192HP S TRONIC TURBO FRONT
AUDI,A1,3PTS 1.4L 4CIL 122HP MAN FRONT FSI TURBO
AUDI,A1,3PTS 1.4L 4CIL 122HP MAN FSI TURBO
AUDI,A1,3PTS 1.4L 4CIL 122HP MAN FSI TURBO FRONT
AUDI,A1,3PTS 1.4L 4CIL 122HP S TRONIC FSI TURBO
AUDI,A1,3PTS 1.4L 4CIL 122HP STRONIC FSI TURBO FRONT
AUDI,A1,3PTS 1.4L 4CIL 185HP S TRONIC FRONT FSI TURBO
AUDI,A1,3PTS 1.4L 4CIL 185HP STRONIC FRONT FSI TURBO
AUDI,A1,3PTS 1.4L 4CIL 185HP STRONIC FSI TURBO FRONT
AUDI,A1,3PTS 1.4L 4CIL122HP S TRONIC FRONT FSI TURBO
AUDI,A1,3PTS 1.4L 4CIL122HP STRONIC FRONT FSI TURBO
AUDI,A1,SPORTBACK 5PTAS 1.4L 4CIL 125HP MAN FSI FRONT TURBO
AUDI,A1,SPORTBACK 5PTAS 1.4L 4CIL125HP STRONIC FSI FRONT TURBO
AUDI,A1,SPORTBACK 5PTAS 1.8L 4CIL192HP STRONIC FSI FRONT TURBO
AUDI,A1,SPORTBACK 5PTAS1.4L 4CIL125HP STRONIC FSI FRONT TURBO
AUDI,A1,SPORTBACK 5PTS 1.4L 4CIL 122HP MAN FRONT FSI TURBO
AUDI,A1,SPORTBACK 5PTS 1.4L 4CIL 122HP MAN FSI TURBO FRONT
AUDI,A1,SPORTBACK 5PTS 1.4L 4CIL 122HP STRONIC FSI TURBO FRONT
AUDI,A1,SPORTBACK 5PTS 1.4L 4CIL 185HP STRONIC FRONT FSI TURBO
AUDI,A1,SPORTBACK 5PTS 1.4L 4CIL 185HP STRONIC FSI TURBO FRONT
AUDI,A1,SPORTBACK 5PTS 1.4L 4CIL122HP S TRONIC FRONT FSI TURBO
AUDI,A3,3PTAS 1.4L 4CIL 125HP MAN FSI FRONT TURBO
AUDI,A3,3PTAS 1.4L 4CIL125HP STRONIC FSI FRONT TURBO
AUDI,A3,3PTAS 1.8L 4CIL 180HP STRONIC FSI TURBO
AUDI,A3,3PTS 1.4L 4CIL 125HP MAN FRONT FSI TURBO
AUDI,A3,3PTS 1.4L 4CIL 125HP S TRONIC FRONT FSI TURBO
AUDI,A3,3PTS 1.4L 4CIL 125HP STRONIC FRONT FSI TURBO
AUDI,A3,3PTS 1.8L 4CIL 160HP STRONIC FRONT FSI TURBO
AUDI,A3,3PTS 1.8L 4CIL 180HP STRONIC FSI TURBO
AUDI,A3,3PTS 1.8L 4CIL 180HP STRONIC FSI TURBO FRONT
AUDI,A3,3PTS 2.0L 4CIL 200HP STRONIC FRONT FSI TURBO
AUDI,A3,CABRIO 2PTAS 1.8L 4CIL180HP STRONIC FRONT FSI TURBO
AUDI,A3,CABRIO 2PTS 1.8L 4CIL 160HP S TRONIC TURBO FSI
AUDI,A3,CABRIO 2PTS 1.8L 4CIL 160HP STRONIC FRONT FSI TURBO
AUDI,A3,CABRIO 2PTS 1.8L 4CIL 180HP STRONIC FSI TURBO
AUDI,A3,CABRIO 2PTS 1.8L 4CIL 180HP STRONIC FSI TURBO FRONT
AUDI,A3,CABRIO 2PTS 2.0L 4CIL 200HP S TRONIC TURBO FSI
AUDI,A3,CABRIO 2PTS 2.0L 4CIL 200HP STRONIC FRONT FSI TURBO
AUDI,A3,SEDÁN 4PTAS 1.4L 4CIL150HP STRONIC FSI TURBO
AUDI,A3,SEDÁN 4PTAS 1.8L 4CIL 180HP STRONIC FSI FRONT TURBO
AUDI,A3,SEDÁN 4PTS 1.4L 4CIL 140HP STRONIC FSI TURBO COD
AUDI,A3,SEDÁN 4PTS 1.8L 4CIL 180HP STRONIC FSI TURBO
AUDI,A3,SPORTBACK 5PTS 1.4L 4CIL 125HP MAN FRONT FSI TURBO
AUDI,A3,SPORTBACK 5PTS 1.4L 4CIL 125HP MAN TURBO FSI
AUDI,A3,SPORTBACK 5PTS 1.4L 4CIL 125HP S TRONIC FRONT FSI TURBO
AUDI,A3,SPORTBACK 5PTS 1.4L 4CIL 125HP S TRONIC TURBO FSI
AUDI,A3,SPORTBACK 5PTS 1.8L 4CIL 160HP S TRONIC TURBO FSI
AUDI,A3,SPORTBACK 5PTS 1.8L 4CIL 160HP STRONIC FRONT FSI TURBO
AUDI,A3,SPORTBACK 5PTS 2.0L 4CIL 200HP S TRONIC TURBO FSI
AUDI,A3,SPORTBACK 5PTS 2.0L 4CIL 200HP S TRONIC TURBO FSI QUATTRO
AUDI,A3,SPORTBACK 5PTS 2.0L 4CIL 200HP STRONIC FRONT FSI TURBO
AUDI,A4,4PTAS 1.8L 4CIL170HP MULTI FSI FRONT TURBO
AUDI,A4,4PTAS 2.0L 4CIL 177HP MULTI FRONT TURBO DIESEL
AUDI,A4,4PTAS 2.0L 4CIL 225HP MULTI
AUDI,A4,4PTAS 2.0L 4CIL 252HP STRONIC FSI QUATTRO TURBO
AUDI,A4,4PTAS 2.0L 4CIL190HP STRONIC FSI FRONT TURBO
AUDI,A4,4PTAS 2.0L 4CIL225HP STRONIC QUATTRO
AUDI,A4,4PTAS 3.0L 6CIL 272HP STRONIC FSI QUATTRO TURBO
AUDI,A4,4PTS 1.8L 4CIL 160HP MAN FRONT FSI TURBO
AUDI,A4,4PTS 1.8L 4CIL 160HP MAN TURBO FSI
AUDI,A4,4PTS 1.8L 4CIL 160HP MULTITRONIC FRONT FSI TURBO
AUDI,A4,4PTS 1.8L 4CIL 160HP MULTITRONIC TURBO FSI
AUDI,A4,4PTS 1.8L 4CIL 170HP MULTITRONIC FRONT FSI TURBO
AUDI,A4,4PTS 1.8L 4CIL 170HP STRONIC FRONT FSI TURBO
AUDI,A4,4PTS 2.0L 4CIL 177HP MULTITRONIC FRONT TURBO DIESEL
AUDI,A4,4PTS 2.0L 4CIL 180HP MULTITRONIC FRONT FSI TURBO
AUDI,A4,4PTS 2.0L 4CIL 180HP MULTITRONIC TURBO FSI
AUDI,A4,4PTS 2.0L 4CIL 211HP MULTITRONIC FRONT FSI TURBO
AUDI,A4,4PTS 2.0L 4CIL 211HP MULTITRONIC TURBO FSI
AUDI,A4,4PTS 2.0L 4CIL 211HP S TRONIC TURBO FSI QUATTRO
AUDI,A4,4PTS 2.0L 4CIL 211HP STRONIC QUATTRO FSI TURBO
AUDI,A4,4PTS 2.0L 4CIL 225HP MULTITRONIC TURBO
AUDI,A4,4PTS 2.0L 4CIL 225HP STRONIC QUATTRO TURBO
AUDI,A4,4PTS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO
AUDI,A4,4PTS 3.2L 6CIL 265HP TIPTRONIC FSI QUATTRO
AUDI,A4,4X4 4PTS 2.0L 4CIL 211HP S TRONIC QUATTRO FSI TURBO
AUDI,A4,4X4 4PTS 3.2L 6CIL 265HP TIPTRONIC QUATTRO FSI
AUDI,A4,SEDAN 4PTS 1.8L 4CIL 170HP MULTITRONIC FSI TURBO FRONT
AUDI,A4,SEDAN 4PTS 2.0L 4CIL 177HP MULTITRONIC TURBO FRONT DIESEL
AUDI,A4,SEDAN 4PTS 2.0L 4CIL 225HP MULTITRONIC TURBO FRONT
AUDI,A4,SEDAN 4PTS 2.0L 4CIL 225HP STRONIC TURBO QUATTRO
AUDI,A4,SEDAN 4PTS 3.0L 6CIL 272HP STRONIC FSI TURBO QUATTRO
AUDI,A5,3PS 2.0L 4CIL 230HP STRONIC QUATTRO FSI TURBO
AUDI,A5,3PTAS 2.0L 4CIL 225HP MULTITRONIC FSI TURBO
AUDI,A5,3PTAS 2.0L 4CIL 225HP STRONIC QUATTRO FSI TURBO
AUDI,A5,3PTAS 2.0L 4CIL 230HP MULTITRONIC FSI TURBO
AUDI,A5,3PTAS 2.0L 4CIL 230HP STRONIC QUATTRO FSI TURBO
AUDI,A5,3PTAS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO
AUDI,A5,3PTAS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO
AUDI,A5,4X4 2PTS 2.0L 4CIL 211HP STRONIC QUATTRO FSI TURBO
AUDI,A5,4X4 2PTS 3.2L 6CIL 265HP STRONIC QUATTRO FSI
AUDI,A5,CABRIO 2PTAS 2.0L 4CIL 225HP MULTITRONIC FSI TURBO
AUDI,A5,CABRIO 2PTAS 2.0L 4CIL 230HP MULTITRONIC FSI TURBO
AUDI,A5,CABRIO 2PTAS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO
AUDI,A5,CABRIO 2PTS 1.8L 4CIL 170HP MULTITRONIC FRONT FSI TURBO
AUDI,A5,CABRIO 2PTS 2.0 4CIL 225 HP MULTITRONIC FSI TURBO
AUDI,A5,CABRIO 2PTS 2.0L 4CIL 211HP MULTITRONIC FRONT FSI TURBO
AUDI,A5,CABRIO 2PTS 2.0L 4CIL 211HP S TRONIC TURBO FSI QUATTRO
AUDI,A5,CABRIO 2PTS 2.0L 4CIL 211HP STRONIC QUATTRO FSI TURBO
AUDI,A5,CABRIO 2PTS 3.0L 6CIL 272HP STRONIC FSI TURBO QUATTRO
AUDI,A5,CABRIO 2PTS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO
AUDI,A5,CABRIO 2PTS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO
AUDI,A5,CABRIO 4X4 2PTS 2.0L 4CIL 211HP STRONIC QUATTRO FSI TURBO
AUDI,A5,CABRIO 4X4 2PTS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO
AUDI,A5,CABRIO 4X4 5PTS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO
AUDI,A5,COUPE 2PTS 2.0L 4CIL 211HP MULTITRONIC FRONT FSI TURBO
AUDI,A5,COUPE 2PTS 2.0L 4CIL 211HP STRONIC QUATTRO FSI TURBO
AUDI,A5,COUPE 2PTS 2.0L 4CIL 225HP MULTITRONIC FSI TURBO
AUDI,A5,COUPE 2PTS 2.0L 4CIL 225HP STRONIC FSI TURBO QUATTRO
AUDI,A5,COUPE 2PTS 3.0L 6CIL 272HP STRONIC FSI TURBO QUATTRO
AUDI,A5,COUPE 2PTS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO
AUDI,A5,COUPE 2PTS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO
AUDI,A5,SPORTBACK 4PTS 2.0L 4CIL 211HP S TRONIC TURBO FSI QUATTRO
AUDI,A5,SPORTBACK 4PTS 3.2L 6CIL 265HP S TRONIC FSI QUATTRO
AUDI,A5,SPORTBACK 4X4 5PTS 2.0L 4CIL 211HP STRONIC QUATTRO FSI TURBO
AUDI,A5,SPORTBACK 4X4 5PTS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO
AUDI,A5,SPORTBACK 4X4 5PTS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO
AUDI,A5,SPORTBACK 4X4 5PTS 3.2L 6CIL 265HP STRONIC QUATTRO FSI
AUDI,A5,SPORTBACK 5PTAS 1.8L 4CIL 170HP MULTITRONIC FRONT FSI TURBO
AUDI,A5,SPORTBACK 5PTAS 1.8L 4CIL 177HP MULTITRONIC FRONT FSI TURBO
AUDI,A5,SPORTBACK 5PTAS 2.0L 4CIL 225HP MULTITRONIC FSI TURBO
AUDI,A5,SPORTBACK 5PTAS 2.0L 4CIL 230HP MULTITRONIC FSI TURBO
AUDI,A5,SPORTBACK 5PTAS 2.0L 4CIL 230HP STRONIC QUATTRO FSI TURBO
AUDI,A5,SPORTBACK 5PTAS 2.0L 4CIL TFSI 225HP S TRONIC QUATTRO FSI TURBO
AUDI,A5,SPORTBACK 5PTAS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO
AUDI,A5,SPORTBACK 5PTS 1.8L 4CIL 170HP MULTITRONIC FRONT FSI TURBO
AUDI,A5,SPORTBACK 5PTS 1.8L 4CIL 170HP MULTITRONIC FSI TURBO FRONT
AUDI,A5,SPORTBACK 5PTS 2.0L 4CIL 211HP MULTITRONIC FRONT FSI TURBO
AUDI,A5,SPORTBACK 5PTS 2.0L 4CIL 211HP STRONIC QUATTRO FSI TURBO
AUDI,A5,SPORTBACK 5PTS 2.0L 4CIL 225HP MULTITRONIC FSI TURBO
AUDI,A5,SPORTBACK 5PTS 2.0L 4CIL 225HP STRONIC FSI TURBO QUATTRO
AUDI,A5,SPORTBACK 5PTS 3.0L 6CIL 272 HP STRONIC FSI TURBO QUATTRO
AUDI,A5,SPORTBACK 5PTS 3.0L 6CIL 272HP STRONIC QUATTRO FSI TURBO
AUDI,A5,SPORTBACK 5PTS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO
AUDI,A6,4PTAS 1.8L 4CIL 190HP STRONIC FSI FRONT TURBO
AUDI,A6,4PTAS 2.0L 4CIL 252HP STRONIC QUATTRO FSI TURBO
AUDI,A6,4PTAS 2.0L4CIL 252HP STRONIC FSI FRONT TURBO
AUDI,A6,4PTAS 3.0L 4CIL 333HP S TRONIC QUATTRO FSI TURBO
AUDI,A6,4PTS 2.0L 4CIL 180HP MULTITRONIC TFSI TURBO
AUDI,A6,4PTS 2.8L 6CIL 220HP MULTITRONIC FSI
AUDI,A6,4PTS 3.0L 6CIL 290HP S TRONIC TURBO FSI QUATTRO
AUDI,A6,4PTS 3.0L 6CIL 290HP TIPTRONIC TURBO FSI QUATTRO
AUDI,A6,4PTS 3.0L 6CIL 310HP STRONIC TFSI QUATTRO TURBO
AUDI,A6,4PTS 4.2L 8CIL 350HP TIPTRONIC FSI QUATTRO
AUDI,A6,SECURITY 4PTS 4.2L 8CIL 350HP TIPTRONIC QUATTRO
AUDI,A6,SEDAN 4PTS 2.0L 4CIL 180HP MULTITRONIC FSI TURBO
AUDI,A6,SEDAN 4PTS 2.0L 4CIL180HP MULTITRONIC FSI TURBO
AUDI,A6,SEDAN 4PTS 2.8L 6CIL 204HP MULTITRONIC FRONT FSI
AUDI,A6,SEDAN 4PTS 3.0L 6CIL 245HP STRONIC QUATTRO TURBO DIESEL
AUDI,A6,SEDAN 4PTS 3.0L 6CIL 310HP STRONIC FSI TURBO QUATTRO
AUDI,A6,SEDAN 4PTS 3.0L 6CIL 310HP STRONIC QUATTRO FSI TURBO
AUDI,A6,SEDAN 4X4 4PTS 3.0L 6CIL 245HP S TRONIC QUATTRO TURBO DISEL
AUDI,A6,SEDAN 4X4 4PTS 3.0L 6CIL 300HP S TRONIC QUATTRO FSI TURBO
AUDI,A7,SPORTBACK 4X4 5PTS 3.0L 6CIL 300HP S TRONIC QUATTRO FSI TURBO
AUDI,A7,SPORTBACK 5PTAS 2.0L 4CIL 252HP STRONIC FSI FRONT TURBO
AUDI,A7,SPORTBACK 5PTAS 2.0L 4CIL 252HP STRONIC QUATTRO FSI TURBO
AUDI,A7,SPORTBACK 5PTAS 3.0L 6CIL 333HP STRONIC QUATTRO FSI TURBO
AUDI,A7,SPORTBACK 5PTS 3.0L 6CIL 310HP S TRONIC QUATTRO FSI TURBO
AUDI,A7,SPORTBACK 5PTS 3.0L 6CIL 310HP STRONIC FSI TURBO QUATTRO
AUDI,A7,SPORTBACK 5PTS 3.0L 6CIL 310HP STRONIC TFSI QUATTRO TURBO
AUDI,A8,4PTAS 3.0L 6CIL 310HP TIP QUATTRO FSI TURBO
AUDI,A8,4PTAS 4.0L8CIL 435HP TIP QUATTRO FSI TURBO
AUDI,A8,4PTAS LWB 4.0L 8CIL 435HP TIP QUATTRO FSI TURBO
AUDI,A8,4PTAS LWB W12 6.3L 12CIL 500HP TIP FSI QUATTRO
AUDI,A8,4PTAS W12 6.3L 12CIL 500HP TIPTRONIC FSI QUATTRO
AUDI,A8,4PTS 3.0L 6CIL 310HP TIPTRONIC QUATTRO FSI TURBO
AUDI,A8,4PTS 4.0L 8CIL 435HP TIPTRONIC QUATTRO FSI BITURBO
AUDI,A8,4PTS 4.2L 8CIL 372HP TIPTRONIC FSI QUATTRO
AUDI,A8,LWB 4PTS 4.0L 8CIL 435HP TIPTRONIC QUATTRO FSI BITURBO
AUDI,A8,LWB 4PTS 4.2L 8CIL 372HP TIPTRONICFSI QUATTRO
AUDI,A8,LWB 4PTS 6.3L 12CIL 500HP TIPTRONIC QUATTRO FSI
AUDI,A8,SEDAN 4PTS 3.0L 6CIL 290HP TIPTRONIC QUATTRO FSI TURBO
AUDI,A8,SEDAN 4PTS 3.0L 6CIL 310HP TIPTRONIC FSI TURBO QUATTRO
AUDI,A8,SEDAN 4PTS 4.0L 8CIL 420HP TIPTRONIC QUATTRO FSI BITURBO
AUDI,A8,SEDAN 4PTS 4.0L 8CIL 420HP TIPTRONIC TFSI QUATTRO TURBO
AUDI,A8,SEDAN 4PTS 4.0L 8CIL 435HP TIPTRONIC FSI TURBO QUATTRO
AUDI,A8,SEDAN 4X4 4PTS 4.2L 8CIL 372HP TIPTRONIC QUATTRO FSI
AUDI,A8,SEDAN LBW 4PTS 4.0L 8CIL 420HP TIPTRONIC QUATTRO FSI BITURBO
AUDI,A8,SEDAN LBW 4PTS 4.0L 8CIL 420HP TIPTRONIC TFSI QUATTRO TURBO
AUDI,A8,SEDAN LW 4X4 4PTS 4.2L 8CIL 372HP TIPTRONIC QUATTRO FSI
AUDI,A8,SEDAN LWB 4PTS 4.0L 8CIL 435HP TIPTRONIC FSI TURBO QUATTRO
AUDI,A8,SEDAN LWB W12 4PTS 6.3L 12CIL 500HP TIPTRONIC FSI QUATTRO
AUDI,A8,SEDAN LWD 4X4 4PTS 6.3L 12CIL 500HP TIPTRONIC QUATTRO FSI
AUDI,A8,SEDAN W12 4PTS 6.3L 12CIL 500HP TIPTRONIC QUATTRO FSI
AUDI,Q3,5PTAS 1.4L 4CIL 150HP STRONIC FSI FRONT TURBO
AUDI,Q3,5PTAS 2.0L 4CIL 180 HP S TRONIC QUATTRO FSI TURBO
AUDI,Q3,5PTAS 2.0L 4CIL 184 HP S TRONIC QUATTRO TURBO DIESEL
AUDI,Q3,5PTAS 2.0L 4CIL 220HP S TRONIC QUATTRO FSI TURBO
AUDI,Q3,5PTS 2.0L 4CIL 170HP STRONIC FSI QUATTRO TURBO
AUDI,Q3,5PTS 2.0L 4CIL 170HP STRONIC FSI TURBO QUATTRO
AUDI,Q3,5PTS 2.0L 4CIL 170HP STRONIC QUATTRO FSI TURBO
AUDI,Q3,5PTS 2.0L 4CIL 177HP STRONIC QUATTRO TURBO DIESEL
AUDI,Q3,5PTS 2.0L 4CIL 211HP STRONIC FSI TURBO QUATTRO
AUDI,Q3,5PTS 2.0L 4CIL 211HP STRONIC QUATTRO FSI TURBO
AUDI,Q5,4X4 5PTS 2.0L 4CIL 211HP S TRONIC QUATTRO FSI TURBO
AUDI,Q5,4X4 5PTS 3.0L 6CIL 240HP S TRONIC QUATTRO TURBO DIESEL
AUDI,Q5,4X4 5PTS 3.2L 6CIL 270HP S TRONIC QUATTRO FSI
AUDI,Q5,5PTAS 2.0L 4CIL 225HP TIP FSI QUATTRO TURBO
AUDI,Q5,5PTAS 2.0L 4CIL 230 HP TIPTRONIC FSI QUATTRO TURBO
AUDI,Q5,5PTAS 3.0L 6CIL 245HP STRONIC QUATTRO TURBO DIESEL
AUDI,Q5,5PTAS 3.0L 6CIL 272HP TIP FSI QUATTRO TURBO
AUDI,Q5,5PTS 2.0L 4CIL 211HP S TRONIC TURBO FSI QUATTRO
AUDI,Q5,5PTS 2.0L 4CIL 225HP TIPTRONIC FSI TURBO QUATTRO
AUDI,Q5,5PTS 2.0L 4CIL 225HP TIPTRONIC QUATTRO FSI TURBO
AUDI,Q5,5PTS 3.0L 6CIL 240HP S TRONIC TURBO DIESEL QUATTRO
AUDI,Q5,5PTS 3.0L 6CIL 245HP STRONIC QUATTRO TURBO DIESEL
AUDI,Q5,5PTS 3.0L 6CIL 272HP TIPTRONIC FSI TURBO QUATTRO
AUDI,Q5,5PTS 3.0L 6CIL 272HP TIPTRONIC QUATTRO FSI TURBO
AUDI,Q5,5PTS 3.2L 6CIL 270HP S TRONIC FSI QUATTRO
AUDI,Q7,4X4 5PTS 3.0L 6CIL 245HP TIPTRONIC QUATTRO TURBO DIESEL
AUDI,Q7,4X4 5PTS 3.0L 6CIL 333HP TIPTRONIC QUATTRO FSI TURBO
AUDI,Q7,4X4 5PTS 4.2L 8CIL 340HP TIPTRONIC QUATTRO TURBO DIESEL
AUDI,Q7,5PTAS 2.0L 4CIL 252HP TIPTRONIC FSI QUATTRO TURBO
AUDI,Q7,5PTAS 3.0L 6CIL 249HP TIPTRONIC FSI QUATTRO TURBO DIESEL
AUDI,Q7,5PTAS 3.0L 6CIL 333HP TIPTRONIC FSI QUATTRO TURBO
AUDI,Q7,5PTS 3.0L 6CIL 240HP TIPTRONIC TURBO DIESEL QUATTRO
AUDI,Q7,5PTS 3.0L 6CIL 245HP TIPTRONIC QUATTRO TURBO DIESEL
AUDI,Q7,5PTS 3.0L 6CIL 333HP TIPTRONIC FSI TURBO QUATTRO
AUDI,Q7,5PTS 3.0L 6CIL 333HP TIPTRONIC QUATTRO FSI TURBO
AUDI,Q7,5PTS 3.0L 6CIL 333HP TIPTRONIC TURBO FSI QUATTRO
AUDI,Q7,5PTS 4.2L 8CIL 326HP TIPTRONIC TURBO DIESEL QUATTRO
AUDI,Q7,5PTS 4.2L 8CIL 340HP TIPTRONIC QUATTRO TURBO DIESEL
AUDI,R8,2PTS 4.2L 8CIL 420HP MANUAL QUATTRO
AUDI,R8,2PTS 4.2L 8CIL 420HP R TRONIC QUATTRO
AUDI,R8,2PTS 4.2L 8CIL 430HP MAN QUATTRO
AUDI,R8,2PTS 4.2L 8CIL 430HP STRONIC QUATTRO
AUDI,R8,2PTS 5.2L 10CIL 525HP MAN QUATTRO
AUDI,R8,2PTS 5.2L 10CIL 525HP MANUAL QUATTRO
AUDI,R8,2PTS 5.2L 10CIL 525HP R TRONIC QUATTRO
AUDI,R8,2PTS 5.2L 10CIL 525HP STRONIC QUATTRO
AUDI,R8,2PTS 5.2L 10CIL 550HP MAN QUATTRO
AUDI,R8,2PTS 5.2L 10CIL 550HP STRONIC QUATTRO
AUDI,R8,4X4 2PTS 4.2L 8CIL 420HP MAN QUATTRO
AUDI,R8,4X4 2PTS 4.2L 8CIL 420HP R TRONIC QUATTRO
AUDI,R8,4X4 2PTS 5.2L 10CIL 525HP MAN QUATTRO
AUDI,R8,4X4 2PTS 5.2L 10CIL 525HP R TRONIC QUATTRO
AUDI,R8,COUPE 2PTAS 4.2L 8CIL 430 HP MAN QUATTRO
AUDI,R8,COUPE 2PTAS 4.2L 8CIL430 HP STRONIC QUATTRO
AUDI,R8,COUPE 2PTAS 5.2L 10CIL 525HP MAN QUATTRO
AUDI,R8,COUPE 2PTAS 5.2L 10CIL 525HP STRONIC QUATTRO
AUDI,R8,COUPE 2PTAS 5.2L 10CIL 540HP STRONIC QUATTRO
AUDI,R8,COUPE 2PTAS 5.2L 10CIL 550HP MAN QUATTRO
AUDI,R8,COUPE 2PTAS 5.2L 10CIL 550HP STRONIC QUATTRO
