Model,Version,Transmission,Adjustment
2011,2PTS 5.5L 12CIL 493HP AUT,AUT,5.42
2011,2PTS 5.5L 12CIL 510HP AUT,AUT,5.38
2011,2PTS 5.5L 8CIL 382HP AUT,G TRONIC,12.64
2011,2PTS 5.5L 8CIL 617HP AUT,AUT,5.26
2011,2PTS 6.0L 12CIL 603HP AUT,AUT,10.27
2011,2PTS 6.2L 8CIL 400HP AUT,AUT,7.86
2011,2PTS 6.2L 8CIL 426HP MAN,M6,7.76
2011,2PTS 6.2L 8CIL 430HP AUT,AUT,7.55
2011,2PTS 6.2L 8CIL 430HP MAN,M6,6.85
2011,2PTS 6.2L 8CIL 518HP AUT,AUT,5.54
2011,2PTS 6.2L 8CIL 518HP AUT,G TRONIC,5.16
2011,2PTS 6.8L 8CIL 450HP TIP DOBLE TURBO,TIP,4.39
2011,2PTS 6.8L 8CIL 450HP TIP TURBO,TIP,4.39
2011,2WD 5PTS 2.4L 4CIL 164HP AUT,AUT,9.38
2011,2WD 5PTS 2.5L 4CIL 180HP AUT,AUT,9.82
2011,2WD 5PTS 3.5L 6CIL 269HP AUT,AUT,7.91
2011,2WD 5PTS 3.5L 6CIL 270HP AUT,AUT,6.49
2011,2WD 5PTS 3.5L 6CIL 290HP AUT,AUT,8.38
2011,2WD 5PTS 5.7L 8CIL 381HP AUT,AUT,5.83
2011,3.0L 6CIL 181HP AUT,AUT,7.12
2011,3/5 PTS 2.0L 4CIL 115HP MAN,MAN,11.55
2011,3/5PTS 1.4L 4CIL 150HP DSG TSI TURBO,DSG,13.39
2011,3/5PTS 1.6L 4CIL 105HP DSG,DSG,11.85
2011,3PTS 1.2L 4CIL 70HP MAN,M5,14.77
2011,3PTS 1.4L 4CIL 100HP AUT,AUT,12.84
2011,3PTS 1.4L 4CIL 100HP MAN,M6,14.77
2011,3PTS 1.4L 4CIL 122HP MAN FSI TURBO,MAN 6,14.13
2011,3PTS 1.4L 4CIL 122HP S TRONIC FSI TURBO,S TRONIC 7,14.3
2011,3PTS 1.4L 4CIL 90HP MAN,MAN,12.05
2011,3PTS 1.6L 4CIL 100HP AUT,AUT,10.91
2011,3PTS 1.6L 4CIL 100HP MAN,M5,12.37
2011,3PTS 1.6L 4CIL 100HP MAN,MAN,10.81
2011,3PTS 1.6L 4CIL 122HP AUT TURBO,AUT,11.19
2011,3PTS 1.6L 4CIL 122HP MAN TURBO,MAN,12.86
2011,3PTS 1.6L 4CIL 184HP AUT TURBO,AUT,11.1
2011,3PTS 1.6L 4CIL 184HP MAN TURBO,MAN,11.99
2011,3PTS 1.6L 4CIL 211HP MAN,MAN,10.94
2011,3PTS 2.0L 4CIL 156HP AUT STRONIC,AUT,11.89
2011,3PTS 2.0L 4CIL 156HP MAN,MAN,9.34
2011,3PTS 2.0L 4CIL 255HP MAN TURBO QUATTRO,MAN,8.94
2011,3PTS 2.0L 4CIL 255HP S TRONIC TURBO QUATTRO,S TRONIC,8.82
2011,3PTS 2.5L 5CIL 227HP AUT TURBO,AUT,7.95
2011,3PTS 2.5L 5CIL 227HP MAN TURBO,MAN,8.66
2011,4 5PTS 3.6L 6CIL 300HP PDK,PDK,6.87
2011,4/5PTS 1.5L 4CIL 106HP AUT,AUT,13.89
2011,4/5PTS 1.5L 4CIL 106HP MAN,MAN,14.33
2011,4PTAS 2.0L 4CIL 138HP CVT,CVT,9.15
2011,4PTAS 2.0L 4CIL 138HP MAN,MAN,9.15
2011,4PTS 1.3L 4CIL 110HP CVT,CVT,17.46
2011,4PTS 1.4L 4CIL 120HP MAN,MAN,11.04
2011,4PTS 1.4L 4CIL 96HP MAN,MAN,11.76
2011,4PTS 1.6L 4CIL 100HP AUT,AUT,10.91
2011,4PTS 1.6L 4CIL 100HP MAN,M5,12.37
2011,4PTS 1.6L 4CIL 103HP AUT,AUT,22.69
2011,4PTS 1.6L 4CIL 103HP MAN,M5,12.07
2011,4PTS 1.6L 4CIL 103HP MAN,MAN,11.54
2011,4PTS 1.6L 4CIL 110HP AUT,AUT,10.43
2011,4PTS 1.6L 4CIL 87HP MAN,MAN,11.91
2011,4PTS 1.8L 4CIL 132HP AUT,AUT,9.61
2011,4PTS 1.8L 4CIL 132HP MAN,MAN,9.61
2011,4PTS 1.8L 4CIL 138HP AUT,AUT,9.99
2011,4PTS 1.8L 4CIL 138HP MAN,M5,10.81
2011,4PTS 1.8L 4CIL 154HP AUT,AUT,10.81
2011,4PTS 1.8L 4CIL 160HP MAN TURBO FSI,MAN,10.88
2011,4PTS 1.8L 4CIL 160HP MULTITRONIC TURBO FSI,MULTITRONIC,10.9
2011,4PTS 1.8L 4CIL 184HP AUT,AUT,10.38
2011,4PTS 1.8L 4CIL 201HP AUT,AUT,9.95
2011,4PTS 1.8L 4CIL 98HP CVT,CVT,15.82
2011,4PTS 1.9L 4CIL 100HP MAN DIESEL,MAN,10.1
2011,4PTS 2.0L 4CIL 140HP CVT Xtronic,CVT,11.85
2011,4PTS 2.0L 4CIL 140HP MAN,MAN,11.4
2011,4PTS 2.0L 4CIL 145HP AUT,AUT,19.07
2011,4PTS 2.0L 4CIL 145HP MAN,M5,9.89
2011,4PTS 2.0L 4CIL 145HP MAN,MAN,9.84
2011,4PTS 2.0L 4CIL 152HP AUT,AUT,10.14
2011,4PTS 2.0L 4CIL 152HP MAN,MAN,10.75
2011,4PTS 2.0L 4CIL 158HP MAN,MAN,9.5
2011,4PTS 2.0L 4CIL 180HP MULTITRONIC TURBO FSI,MULTITRONIC,9.55
2011,4PTS 2.0L 4CIL 200HP TFSI DSG TURBO,TIP,8.92
2011,4PTS 2.0L 4CIL 211HP MULTITRONIC TURBO FSI,MULTITRONIC,10.29
2011,4PTS 2.0L 4CIL 211HP S TRONIC TURBO FSI QUATTRO,S TRONIC,10.29
2011,4PTS 2.0L 4CIL 211HP TIP TFSI TURBO,MULTITRONIC,9.88
2011,4PTS 2.3L 6CIL 166HP AUT,AUT,9.02
2011,4PTS 2.4L 4CIL 170HP AUT,AUT,10.85
2011,4PTS 2.4L 4CIL 172HP AUT,AUT,9.54
2011,4PTS 2.4L 4CIL 204HP AUT,AUT,10.3
2011,4PTS 2.5L 4CIL 170HP AUT,AUT,19.76
2011,4PTS 2.5L 4CIL 170HP MAN,M6,20.12
2011,4PTS 2.5L 4CIL 175HP AUT,AUT,21.39
2011,4PTS 2.5L 4CIL 175HP CVT,CVT,11.22
2011,4PTS 2.5L 5CIL 227HP AUT TURBO,AUT,8.99
2011,4PTS 2.8L 6CIL 220HP MULTITRONIC FSI,MULTITRONIC,7.47
2011,4PTS 3.0L 6CIL 228HP AUT,G TRONIC,16.52
2011,4PTS 3.0L 6CIL 240HP AUT,AUT,17.75
2011,4PTS 3.0L 6CIL 258HP AUT STRONIC,AUT,9.39
2011,4PTS 3.0L 6CIL 270HP AUT,AUT,9.15
2011,4PTS 3.0L 6CIL 290HP S TRONIC TURBO FSI QUATTRO,S TRONIC,8.1
2011,4PTS 3.0L 6CIL 290HP TIPTRONIC TURBO FSI QUATTRO,TIP,8.1
2011,4PTS 3.0L 6CIL 306HP AUT STRONIC,AUT,8.97
2011,4PTS 3.0L 6CIL 306HP MAN,MAN,8.94
2011,4PTS 3.0L 6CIL 326HP AUT STRONIC,AUT,7.79
2011,4PTS 3.0L 6CIL 333HP MAN TURBO QUATTRO,MAN,5.84
2011,4PTS 3.0L 6CIL 333HP S TRONIC TURBO QUATTRO,S TRONIC,5.84
2011,4PTS 3.2L 6CIL 230HP AUT,AUT,6.96
2011,4PTS 3.2L 6CIL 265HP TIPTRONIC FSI QUATTRO,TIP,8.3
2011,4PTS 3.5L 6CIL 263HP AUT,AUT,8.7
2011,4PTS 3.5L 6CIL 268HP AUT,AUT,8.1
2011,4PTS 3.5L 6CIL 268HP AUT,G TRONIC,23.55
2011,4PTS 3.5L 6CIL 280HP AUT,AUT,19.91
2011,4PTS 3.5L 6CIL 290HP CVT,CVT,9.1
2011,4PTS 3.5L 6CIL 355HP AUT,AUT,7.25
2011,4PTS 3.6L 6CIL 252HP AUT,AUT,8.32
2011,4PTS 3.6L 6CIL 280HP TIP,TIP,7.68
2011,4PTS 3.6L 6CIL 280HP TIP QUATTRO,TIP,7.68
2011,4PTS 3.6L 6CIL 283HP AUT,AUT,8.79
2011,4PTS 3.6L 6CIL 292HP AUT,AUT,8.36
2011,4PTS 3.6L 6CIL 304HP AUT,AUT,7.91
2011,4PTS 3.7L 6CIL 272HP AUT,AUT,8.1
2011,4PTS 4.2L 8CIL 350HP TIPTRONIC FSI QUATTRO,TIP,6.98
2011,4PTS 4.2L 8CIL 372HP TIPTRONIC FSI QUATTRO,TIP 8,8.1
2011,4PTS 4.4L 8CIL 407HP AUT STRONIC,AUT,20.85
2011,4PTS 5.0L 8CIL 375HP AUT,AUT,5.5
2011,4PTS 5.0L 8CIL 385HP AUT,AUT,5.77
2011,4PTS 5.2L 10CIL 435HP TIPTRONIC FSI QUATTRO,TIP,5.82
2011,4PTS 5.4L 8CIL 300HP AUT,AUT,6.55
2011,4PTS 5.5L 12CIL 510HP AUT,AUT,5.42
2011,4PTS 5.5L 12CIL 544HP AUT,AUT,4.89
2011,4PTS 5.5L 8CIL 382HP AUT,G TRONIC,20.05
2011,4PTS 6.0L 12CIL 544HP AUT STRONIC,AUT,5.99
2011,4PTS 6.0L 12CIL 603HP AUT,AUT,5.2
2011,4PTS 6.2L 8CIL 451HP AUT,G TRONIC,5.59
2011,4PTS 6.2L 8CIL 507HP AUT,AUT,5.29
2011,4PTS 6.2L 8CIL 507HP AUT,G TRONIC,5.29
2011,4PTS 6.2L 8CIL 518HP AUT,G TRONIC,5.16
2011,4PTS 6.7L 12CIL 453HP AUT,AUT,5.03
2011,4S 5PTS 4.8 400 HP PDK,PDK,6.86
2011,4WD 3PTS 4.0L 6CIL 260HP AUT,AUT,7.66
2011,4WD 4PTS 3.7L 6CIL 303HP AUT,AUT,8.08
2011,4WD 4PTS 3.7L 6CIL 304HP AUT,AUT,7.76
2011,4WD 5PTS 2.3L 4CIL 240HP AUT,AUT,7.92
2011,4WD 5PTS 2.4L 4CIL 166HP AUT,AUT,8.52
2011,4WD 5PTS 2.5L 4CIL 166HP CVT,CVT,10.98
2011,4WD 5PTS 2.5L 4CIL 180HP AUT,AUT,9.82
2011,4WD 5PTS 3.5L 6CIL 269HP AUT,AUT,7.91
2011,4WD 5PTS 3.5L 6CIL 270HP AUT,AUT,6.13
2011,4WD 5PTS 3.5L 6CIL 290HP AUT,AUT,7.84
2011,4WD 5PTS 3.7L 6CIL 304HP AUT,AUT,6.59
2011,4WD 5PTS 5.7L 8CIL 381HP AUT,AUT,4.73
2011,4X2 3.5L 6CIL 263HP AUT,AUT,8.7
2011,4X2 4PTS 3.0L 6CIL 240HP AUT,AUT,8.89
2011,4X2 5.4L 8CIL 300HP AUT,AUT,4.73
2011,4X2 5PTS 2.3L 4CIL 244HP AUT,AUT,8.49
2011,4x2 5PTS 2.4L 4CIL 165HP AUT,AUT,9.32
2011,4x2 5PTS 2.4L 4CIL 165HP MAN,MAN,9.95
2011,4X2 5PTS 2.5L 4CIL 161HP AUT,AUT,9.92
2011,4X2 5PTS 2.5L 4CIL 166HP CVT,CVT,11.52
2011,4X2 5PTS 2.5L 4CIL 169HP CVT,CVT,8.94
2011,4X2 5PTS 2.5L 4CIL 170HP CVT,CVT,10.32
2011,4X2 5PTS 3.5L 6CIL 235HP CVT,CVT,8.34
2011,4X2 5PTS 3.6L 6CIL 280HP AUT,AUT,7.07
2011,4x2 5PTS 3.7L 6CIL 210HP AUT,AUT,7.26
2011,4X2 5PTS 3.7L 6CIL 274HP AUT,AUT,7.49
2011,4X2 5PTS 4.0L 6CIL 266HP AUT,AUT,7.08
2011,4X2 5PTS 5.3L 8CIL 320HP AUT,AUT,13
2011,4X2 5PTS 5.6L 8CIL 317HP AUT,AUT,5.9
2011,4X2 5PTS 5.7L 8CIL 360HP AUT,AUT,5.16
2011,4x4 2PTS 3.8L 6CIL 205HP AUT,AUT,6.05
2011,4x4 2PTS 3.8L 6CIL 205HP MAN,MAN,6.1
2011,4X4 4PTS 3.0L 6CIL 240HP AUT,AUT,8.89
2011,4X4 5.4L 8CIL 300HP AUT,AUT,4.73
2011,4X4 5PTS 2.3L 4CIL 244HP AUT,AUT,8.05
2011,4X4 5PTS 2.5L 4CIL 169HP CVT,CVT,8.94
2011,4X4 5PTS 2.5L 4CIL 170HP CVT,CVT,9.76
2011,4X4 5PTS 3.7L 6CIL 274HP AUT,AUT,7.04
2011,4X4 5PTS 4.0L 6CIL 266HP AUT,AUT,6.69
2011,4X4 5PTS 5.3L 8CIL 320HP AUT,AUT,13
2011,4X4 5PTS 5.6L 8CIL 317HP AUT,AUT,5.79
2011,4x4 UNLIMITED 4PTS 3.8L 6CIL 205HP AUT,AUT,6.05
2011,4x4 UNLIMITED 4PTS 3.8L 6CIL 205HP MAN,MAN,6.1
2011,5.5L 8CIL 382HP AUT,G TRONIC,5.55
2011,5PTAS 2.4L 4CIL 172HP AUT,AUT,8.52
2011,5PTAS 2.4L 4CIL 172HP MAN,MAN,8.53
2011,5PTS 1.0L 4CIL 64HP MAN,M5,13.69
2011,5PTS 1.1L 4CIL 63HP MAN,M5,15.13
2011,5PTS 1.2L 4CIL 60HP AUT,AUT,14.15
2011,5PTS 1.2L 4CIL 60HP MAN,M5,14.37
2011,5PTS 1.2L 4CIL 60HP MAN,MAN,14.15
2011,5PTS 1.2L 4CIL 81HP MAN,M5,14.92
2011,5PTS 1.4L 4CIL 125HP MAN TFSI TURBO,MAN,12.78
2011,5PTS 1.4L 4CIL 125HP MAN TURBO,M6,11.11
2011,5PTS 1.5L 4CIL 100HP MAN,MAN,13.33
2011,5PTS 1.5L 4CIL 107HP AUT,AUT,8.15
2011,5PTS 1.5L 4CIL 107HP MAN,MAN,8.15
2011,5PTS 1.6L 4CIL 100HP AUT,AUT,10.91
2011,5PTS 1.6L 4CIL 100HP MAN,M5,12.37
2011,5PTS 1.6L 4CIL 103HP AUT,AUT,10.37
2011,5PTS 1.6L 4CIL 103HP MAN,MAN,11.91
2011,5PTS 1.6L 4CIL 105HP AUT,AUT,10.75
2011,5PTS 1.6L 4CIL 105HP MAN,M5,10.75
2011,5PTS 1.6L 4CIL 110HP MAN,MAN,12.03
2011,5PTS 1.6L 4CIL 99HP MAN,MAN,33.21
2011,5PTS 1.8L 4CIL 132HP AUT,AUT,9.08
2011,5PTS 1.8L 4CIL 132HP MAN,MAN,9.08
2011,5PTS 1.8L 4CIL 160HP MAN TSI TURBO,MAN,9.5
2011,5PTS 2.0L 4CIL 134HP AUT,AUT,10.5
2011,5PTS 2.0L 4CIL 134HP MAN,M5,10.64
2011,5PTS 2.0L 4CIL 145HP AUT,AUT,11.26
2011,5PTS 2.0L 4CIL 145HP MAN,M6,11.48
2011,5PTS 2.0L 4CIL 156HP AUT STRONIC,AUT,11.89
2011,5PTS 2.0L 4CIL 156HP MAN,MAN,9.34
2011,5PTS 2.0L 4CIL 190HP AUT,AUT,9.56
2011,5PTS 2.0L 4CIL 200HP TIP TFSI TURBO,TIP,9.02
2011,5PTS 2.0L 4CIL 200HP TIP TFSI TURBO QUATRO,TIP,9.02
2011,5PTS 2.0L 4CIL 211HP S TRONIC TURBO FSI QUATTRO,S TRONIC,9.17
2011,5PTS 2.3L 4CIL 153HP AUT,AUT,9.72
2011,5PTS 2.3L 4CIL 153HP MAN,M5,10.09
2011,5PTS 2.4L 4CIL 168HP AUT,AUT,9.53
2011,5PTS 2.4L 4CIL 169HP AUT,AUT,9.21
2011,5PTS 2.4L 4CIL 172HP AUT,AUT,9.18
2011,5PTS 2.4L 4CIL 172HP MAN,MAN,9.76
2011,5PTS 2.4L 4CIL 173HP AUT,AUT,9.14
2011,5PTS 2.4L 4CIL 182HP AUT,AUT,9.38
2011,5PTS 3.0L 6CIL 220HP AUT,AUT,7.87
2011,5PTS 3.0L 6CIL 228HP AUT,G TRONIC,7.66
2011,5PTS 3.0L 6CIL 240HP S TRONIC TURBO DIESEL QUATTRO,S TRONIC,10.15
2011,5PTS 3.0L 6CIL 240HP TIP TDI DIESEL,TIP,8.55
2011,5PTS 3.0L 6CIL 240HP TIPTRONIC TURBO DIESEL QUATTRO,TIP,10.73
2011,5PTS 3.0L 6CIL 264HP AUT,AUT,8.22
2011,5PTS 3.0L 6CIL 265HP AUT,AUT,8.55
2011,5PTS 3.0L 6CIL 333HP TIPTRONIC TURBO FSI QUATTRO,TIP,8.75
2011,5PTS 3.2L 6CIL 270HP S TRONIC FSI QUATTRO,S TRONIC,9.23
2011,5PTS 3.5L 6CIL 268HP AUT,G TRONIC,20.82
2011,5PTS 3.5L 6CIL 285HP AUT,AUT,8.69
2011,5PTS 3.6L 6CIL 257HP AUT,AUT,7.54
2011,5PTS 3.6L 6CIL 280HP TIP FSI,TIP,7.41
2011,5PTS 3.6L 6CIL 281HP AUT,AUT,7.91
2011,5PTS 3.6L 6CIL 283HP AUT,AUT,7.47
2011,5PTS 3.6L 6CIL 286HP AUT,AUT,7.91
2011,5PTS 3.6L 6CIL 300HP PDK,PDK,6.87
2011,5PTS 3.7L 6CIL 210HP AUT,AUT,6.25
2011,5PTS 3.7L 6CIL 305HP AUT,AUT,7.57
2011,5PTS 3.8L 6CIL 198HP TIP,TIP,5.97
2011,5PTS 3.8L 6CIL 215HP AUT,AUT,7.96
2011,5PTS 3.8L 6CIL 247HP AUT,AUT,6.95
2011,5PTS 4.2L 8CIL 326HP TIPTRONIC TURBO DIESEL QUATTRO,TIP,7.1
2011,5PTS 4.6L 8CIL 310HP AUT,AUT,6.14
2011,5PTS 5.5L 8CIL 382HP AUT,G TRONIC,17.01
2011,5PTS 5.5L 8CIL 493HP AUT,AUT,5.13
2011,5PTS 6.2L 8CIL 503HP AUT,G TRONIC,3.99
2011,5PTS1.8L 4CIL160HP DSG TSI TURBO,DSG,9.5
2011,ADVENTURE 5PTS 1.8L 4CIL 107HP MAN,M5,10.17
2011,AMG 2PTS 6.2L 8CIL 571HP AUT,AUT,5.84
2011,AUTHENTIQUE 5PTS 1.6L 4CIL 87HP MAN,M5,11.54
2011,AVANT 5PTS 5.0L 10CIL 580HP TIPTRONIC TURBO FSI QUATTRO,TIP,5.6
2011,AWD 4PTS 1.6L 4CIL 180HP AUT TURBO,AUT,10.07
2011,AWD 4PTS 1.6L 4CIL 180HP MAN TURBO,MAN,11.39
2011,AWD 4PTS 3.0L 6CIL 304HP AUT TURBO,AUT,7.63
2011,AWD 5PTS 3.0L 6CIL 265HP AUT,AUT,7.98
2011,AWD 5PTS 3.0L 6CIL 304HP AUT TURBO,AUT,7.2
2011,AWD 5PTS 3.2L 6CIL 243HP AUT,AUT,7.29
2011,AWD 5PTS 3.5L 6CIL 235HP CVT,CVT,8.22
2011,AWD 5PTS 3.6L 6CIL 286HP AUT,AUT,7.64
2011,AWD 5PTS 3.6L 6CIL 288HP AUT,AUT,7.46
2011,AWD 5PTS 3.7L 6CIL 305HP AUT,AUT,8
2011,AWD 5PTS 6.2L 8CIL 403HP AUT,AUT,5.82
2011,BERLINA 1.6L 4CIL 118HP MAN,MAN,10.43
2011,BERLINA 3PTS 1.4L 4CIL 75HP MAN,MAN,10.69
2011,BERLINA 3PTS 1.6L 4CIL 150HP MAN TURBO,MAN,10.87
2011,BERLINA 4PTS 3.0L 6CIL 210HP AUT,AUT,7.71
2011,BERLINA 5PTS 1.6L 4CIL 110HP AUT,AUT,9.31
2011,BERLINA 5PTS 1.6L 4CIL 110HP MAN,MAN,10.28
2011,BERLINA 5PTS 1.6L 4CIL 118HP MAN,MAN,12.4
2011,BERLINA 5PTS 1.6L 4CIL 154HP TIP TURBO,TIP,9.95
2011,CABRIO 2PTS 1.6L 4CIL 184HP AUT TURBO,AUT,10.89
2011,CABRIO 2PTS 1.6L 4CIL 184HP MAN TURBO,MAN,11.83
2011,CABRIO 2PTS 1.8L 4CIL 160HP S TRONIC TURBO FSI,S TRONIC,12.38
2011,CABRIO 2PTS 2.0L 4CIL 200HP S TRONIC TURBO FSI,S TRONIC,11.03
2011,CABRIO 2PTS 2.0L 4CIL 211HP S TRONIC TURBO FSI QUATTRO,S TRONIC,10.29
2011,CABRIO 2PTS 2.5L 5CIL 150HP MAN,M5,10.6
2011,CABRIO 2PTS 2.5L 5CIL 150HP TIP,TIPTRONIC,10.2
2011,CABRIO 2PTS 2.5L 6CIL 218HP AUT STRONIC,AUT,9.3
2011,CABRIO 2PTS 2.5L 6CIL 218HP MAN,MAN,9.55
2011,CABRIO 2PTS 3.0L 6C IL 306HP AUT STRONIC TURBO,AUT,8.68
2011,CABRIO 3PTS 1.6L 4CIL 122HP AUT,AUT,10.92
2011,CABRIO 3PTS 1.6L 4CIL 122HP MAN,MAN,12.32
2011,CARGO VAN 3PTS 2.0L 4CIL 102HP MAN TURBODIESEL,MAN,10.45
2011,CARGO VAN 4PTS 4.3L 6CIL 195HP AUT,AUT,6.93
2011,CARRERA 2 CABRIOLET 2PTS 3.6L 6CIL 345HP MAN,MAN,6.95
2011,CARRERA 2 CABRIOLET 2PTS 3.6L 6CIL 345HP PDK,PDK,6.84
2011,CARRERA 2 COUPÉ 2PTS 3.6L 6CIL 345HP MAN,MAN,6.95
2011,CARRERA 2 COUPÉ 2PTS 3.6L 6CIL 345HP PDK,PDK,6.84
2011,CARRERA 2S CABRIOLET 2PTS 3.8L 385HP PDK,PDK,7.47
2011,CARRERA 2S CABRIOLET 2PTS 3.8L 6CIL 408HP MAN,MAN,7.5
2011,CARRERA 2S COUPÉ 2PTS 3.8L 6CIL 385HP MAN,MAN,7.5
2011,CARRERA 2S COUPE 2PTS 3.8L 6CIL 385HP PDK,PDK,7.47
2011,CARRERA 4 CABRIOLET 2PTS 3.6L 6CIL 345HP MAN,MAN,6.75
2011,CARRERA 4 CABRIOLET 2PTS 3.6L 6CIL 345HP PDK,PDK,6.5
2011,CARRERA 4 COUPÉ 2PTS 3.6L 6CIL 345HP MAN,MAN,6.75
2011,CARRERA 4 COUPÉ 2PTS 3.6L 6CIL 345HP PDK,PDK,6.5
2011,CARRERA 4S CABRIOLET 2PTS 3.8L 6CIL 385HP MAN,MAN,7.44
2011,CARRERA 4S CABRIOLET 2PTS 3.8L 6CIL 385HP PDK,PDK,7.4
2011,CARRERA 4S COUPÉ 2PTS 3.8L 6CIL 385HP MAN,MAN,7.44
2011,CARRERA 4S COUPÉ 2PTS 3.8L 6CIL 385HP PDK,PDK,7.4
2011,CC 2PTS 1.6L 4CIL 120HP AUT TURBO,AUT,10.34
2011,CC 2PTS 1.6L 4CIL 154HP MAN TURBO,MAN,10.27
2011,CC 2PTS 1.6L 4CIL 154HP TIP TURBO,TIP,9.86
2011,CC 4PTS 2.0L 4CIL 200HP TFSI DSG TURBO,TIP,8.92
2011,CC 4PTS 3.6L 6CIL 280HP TIP,TIP,7.68
2011,CC 4PTS 3.6L 6CIL 280HP TIP QUATTRO,TIP,7.68
2011,CHASIS CABINA 2PTS 2.0L 4CIL 102HP MAN TURBODIESEL,MAN,10.45
2011,CHASIS CABINA REGULAR 4PTS 2.2L 4CIL 115HP MAN,M6,10.04
2011,CLUBMAN 3PTS 1.6L 4CIL 184HP AUT TURBO,AUT,11.1
2011,CLUBMAN 3PTS 1.6L 4CIL 184HP MAN TURBO,MAN,11.9
2011,CONV 2PTS 4.0L 8CIL 420HP DKG,DKG,6.8
2011,CONV 2PTS 4.0L 8CIL 420HP MAN,MAN,6.18
2011,CONV 2PTS 4.8L 8CIL 367HP AUT STRONIC,AUT,6.57
2011,CONVERTIBLE 2PTS 1.8L 4CIL 201HP AUT,AUT,9.55
2011,CONVERTIBLE 2PTS 3.5L 6CIL 268HP AUT,G TRONIC,7.73
2011,CONVERTIBLE 2PTS 5.5L 8CIL 382HP AUT,G TRONIC,6.97
2011,COUNTRYMAN 5PTS 1.6L 4CIL 184HP AUT TURBO,AUT,10.67
2011,COUNTRYMAN 5PTS 1.6L 4CIL 184HP MAN TURBO,MAN,12.48
2011,COUNTRYMAN ALL4 5PTS 1.6L 4CIL 184HP AUT TURBO,AUT,9.9
2011,COUNTRYMAN ALL4 5PTS 1.6L 4CIL 184HP MAN TURBO,MAN,11.58
2011,COUPÉ 2PTS 1.6L 4CIL 197HP MAN TURBO,MAN,11.01
2011,COUPÉ 2PTS 1.8L 4CIL 160HP MAN TURBO,MAN,11.27
2011,COUPE 2PTS 1.8L 4CIL 201HP AUT,AUT,9.96
2011,COUPÉ 2PTS 2.0L 4CIL 211HP S TRONIC TURBO,S TRONIC,10.09
2011,COUPÉ 2PTS 2.0L 4CIL 272HP S TRONIC TURBO,S TRONIC,9.35
2011,COUPE 2PTS 2.5L 6CIL 218HP AUT MULTITRONIC,AUT,8.42
2011,COUPE 2PTS 2.5L 6CIL 218HP MAN,MAN,8.95
2011,COUPE 2PTS 3.0L 6CIL 306HP AUT STRONIC TURBO,AUT,8.92
2011,COUPÉ 2PTS 3.5L 6CIL 268HP AUT,G TRONIC,8.04
2011,COUPE 2PTS 3.5L 6CIL 270HP CVT,CVT,9.59
2011,COUPE 2PTS 4.0L 8CIL 420HP DKG,DKG,6.91
2011,COUPE 2PTS 4.0L 8CIL 420HP MAN,MAN,6.3
